serial_number,manifest_id,scientific_name,common_name,tier,model_key,format,tradition,temperature,response_idx,pool,r_species,r_habitat,r_diet,r_iucn,r_overall,notes,saved_at
S0040,GBIF_Panthera_pardus_01,Panthera pardus,Leopard,4,gemma3,conservation,,0.7,2,forced_shr1,1,1,1,1,1,,2026-05-19 06:01:24
S0181,GBIF_Panthera_pardus_orientalis_02,Panthera pardus orientalis,Amur leopard,3,gemma4_8b,mythological,West African (Yoruba),0.7,0,forced_ehr_high,1,1,1,1,1,,2026-05-19 06:01:40
S0134,iNat_Diceros_bicornis_03,Diceros bicornis,Black rhino,3,gemma3,factual,,0.7,1,forced_ehr0,5,4,1,1,4,,2026-05-19 06:01:59
S0319,iNat_Equus_quagga_01,Equus quagga,Plains zebra,1,llava16,mythological,West African (Yoruba),0.3,1,forced_shr1,1,1,1,1,1,,2026-05-19 06:02:14
S0408,GBIF_Ursus_arctos_01,Ursus arctos,Grizzly bear,4,qwen2vl2b,mythological,Ancient Greek,0.7,1,forced_ehr0,1,1,1,1,1,,2026-05-19 06:02:27
S0249,GBIF_Panthera_pardus_orientalis_00,Panthera pardus orientalis,Amur leopard,3,llava16,childrens,,0.3,0,forced_shr1,1,1,1,1,1,,2026-05-19 06:02:41
S0299,GBIF_Ursus_maritimus_00,Ursus maritimus,Polar bear,1,llava_interleave,conservation,,0.3,2,forced_shr1,5,5,5,5,5,,2026-05-19 06:02:58
S0182,GBIF_Aquila_chrysaetos_00,Aquila chrysaetos,Golden eagle,4,qwen2vl2b,mythological,East Asian (Chinese/Japanese),0.7,1,forced_shr1,1,1,1,1,1,,2026-05-19 06:03:26
S0011,iNat_Hydrochoerus_hydrochaeris_02,Hydrochoerus hydrochaeris,Capybara,2,qwen3vl8b,factual,,0.3,2,forced_evasion,5,3.5,3.6,1,3.6,,2026-05-19 06:03:49
S0157,GBIF_Gorilla_beringei_beringei_00,Gorilla beringei beringei,Mountain gorilla,3,idefics3,conservation,,0.7,1,forced_evasion,1,1,1,1,1,,2026-05-19 06:04:03
S0156,iNat_Ursus_arctos_03,Ursus arctos,Grizzly bear,4,qwen35_9b,mythological,Ancient Greek,0.7,0,stratified_random,4.2,4.4,5,1,4,,2026-05-19 06:07:06
S0308,iNat_Acinonyx_jubatus_02,Acinonyx jubatus,Cheetah,4,qwen25vl,factual,,0.7,0,forced_shr1,5,5,5,5,5,,2026-05-19 06:07:25
S0455,GBIF_Alligator_mississippiensis_02,Alligator mississippiensis,American alligator,4,gemma4_8b,conservation,,0.7,0,forced_shr1,1,1,1,1,1,,2026-05-19 06:07:41
S0346,iNat_Ursus_americanus_00,Ursus americanus,American black bear,4,ayavision,factual,,0.7,1,forced_evasion,1,1,1,1,1,,2026-05-19 06:07:57
S0037,GBIF_Addax_nasomaculatus_02,Addax nasomaculatus,Addax,3,gemma4_8b,mythological,West African (Yoruba),0.7,1,forced_ehr_high,1,1,1,1,1,,2026-05-19 06:08:11
